hhid,plotid,cropid,sa3q1,sa3q2,sa3q3,sa3q4,sa3q4b,sa3q5a,sa3q5b,sa3q6a,sa3q6b,sa3q7,sa3q8a,sa3q8b,sa3q9,sa3q10,sa3q11a,sa3q11b,sa3q12,sa3q13,sa3q14,sa3q15a,sa3q15b,sa3q15c,sect4q16a,sa3q16b,sa3q17,sa3q18,sa3q19a,sa3q19b,sa3q20a,sa3q20b,sa3q21a,sa3q21b,sa3q22a,sa3q22b,sa3q23a,sa3q23b
10011.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011.0,1.0,2.0,MAIZE,1080.0,1.0,,,500.0,3.0,8.0,31.0,2.0,,,1.0,N1,8.0,31.0,2800.0,1.0,2.0,,,,,,,2800.0,0.0,,0.0,,0.0,,0.0,,0.0,
10011.0,1.0,3.0,MELON,1090.0,1.0,,,500.0,3.0,5.0,31.0,2.0,,,1.0,N1,5.0,31.0,4000.0,1.0,2.0,,,,,,,4000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10011.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011.0,2.0,2.0,MAIZE,1080.0,1.0,,,550.0,3.0,9.0,31.0,2.0,,,1.0,N1,6.0,31.0,2100.0,1.0,2.0,,,,,,,3150.0,0.0,,3.0,31.0,0.0,,0.0,,0.0,
10011.0,2.0,3.0,MELON,1090.0,1.0,,,550.0,3.0,6.0,31.0,2.0,,,1.0,N1,5.0,31.0,4800.0,1.0,2.0,,,,,,,4800.0,0.0,,1.0,31.0,0.0,,0.0,,0.0,
10012.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012.0,1.0,2.0,MAIZE,1080.0,1.0,,,2000.0,3.0,10.0,31.0,2.0,,,1.0,N1,8.0,31.0,2800.0,1.0,2.0,,,,,,,3500.0,0.0,,2.0,31.0,0.0,,0.0,,0.0,
10013.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013.0,1.0,2.0,MAIZE,1080.0,1.0,,,400.0,3.0,1.0,21.0,2.0,,,1.0,N1,1.0,21.0,1500.0,1.0,2.0,,,,,,,1500.0,0.0,,0.0,,0.0,,0.0,,0.0,
